# Wo,Ar,sample_sigma,prediction,abs_error,rel_error
5.447459824181953181e+00,4.140654796544762206e+00,7.601074501116794613e-01,1.431016445159912109e+00,-6.709089875221252441e-01,-8.826501965522766113e-01
3.857317976344918353e+00,7.012150983779528168e+00,1.817882535684558043e+00,1.393347978591918945e+00,4.245345592498779297e-01,2.335324436426162720e-01
4.234083314229294182e+00,1.498296634304590480e+00,3.538656476761644631e-01,2.357819318771362305e+00,-2.003953695297241211e+00,-5.663035392761230469e+00
3.039682078155481193e+00,5.051080797160309999e+00,1.661713517166693688e+00,2.331655979156494141e+00,-6.699424982070922852e-01,-4.031636714935302734e-01
3.503764863466705126e+00,1.433370495981707649e+01,4.090943747188268809e+00,3.638148307800292969e+00,4.527955055236816406e-01,1.106824055314064026e-01
9.902304187303059280e-01,2.271978909557252901e+00,2.294394179963115565e+00,3.550576210021972656e+00,-1.256181955337524414e+00,-5.475004911422729492e-01
3.328521886521660811e+00,9.711094956466407524e+00,2.917539763157333876e+00,3.743517160415649414e+00,-8.259773254394531250e-01,-2.831074595451354980e-01
4.422605057405989193e+00,4.444228241501241072e+00,1.004889241479757001e+00,2.870658397674560547e+00,-1.865769147872924805e+00,-1.856691360473632812e+00
4.380933781909561731e+00,6.373961740672183574e+00,1.454932226319544997e+00,7.281157970428466797e-01,7.268164157867431641e-01,4.995534420013427734e-01
2.728255144849974223e-01,3.638609853753950851e+00,1.333676529712559855e+01,9.722806930541992188e+00,3.613958358764648438e+00,2.709771394729614258e-01
4.995446328855719820e+00,3.824018510892148281e+00,7.655008700229787300e-01,-7.579671144485473633e-01,1.523468017578125000e+00,1.990158557891845703e+00
2.443845855015438495e+00,4.759384469602911949e+00,1.947497817767580131e+00,8.189899444580078125e+00,-6.242401599884033203e+00,-3.205344438552856445e+00
4.159728475987229501e+00,9.235261960628101008e+00,2.220159804645973178e+00,3.059608459472656250e+00,-8.394486904144287109e-01,-3.781028389930725098e-01
3.851495454879674263e+00,6.977794216207010791e+00,1.811710359768555767e+00,3.470319747924804688e+00,-1.658609390258789062e+00,-9.154936671257019043e-01
6.802880831830790953e-01,8.149171995297800564e+00,1.197900153882997998e+01,2.719020652770996094e+01,-1.521120452880859375e+01,-1.269822359085083008e+00
3.701659610925099875e-01,8.626350222475362983e+00,2.330400719994755931e+01,3.440276718139648438e+01,-1.109876060485839844e+01,-4.762597680091857910e-01
1.001496021770166500e+00,1.975758920925742679e+00,1.972807557870818629e+00,5.335814476013183594e+00,-3.363007068634033203e+00,-1.704680800437927246e+00
1.899819128676368152e+00,1.036850681478747482e+01,5.457628391188674044e+00,6.418993473052978516e+00,-9.613652229309082031e-01,-1.761507391929626465e-01
3.369343256224394345e+00,7.768870507429257444e+00,2.305752164929277370e+00,4.868117332458496094e+00,-2.562365055084228516e+00,-1.111292481422424316e+00
3.561737261313106195e+00,1.336543058303369591e+01,3.752503231556799435e+00,5.409995555877685547e+00,-1.657492399215698242e+00,-4.417031407356262207e-01
6.679629992922341275e-01,2.707941364745742874e+00,4.054028992047532753e+00,5.252469539642333984e+00,-1.198440551757812500e+00,-2.956171631813049316e-01
