# Wo,Ar,sample_sigma,prediction,abs_error,rel_error,mse,K,G,frac,act_sigma
1.344399628738169650e+00,4.707851721911925580e+00,2.843384454421524765e+00,1.889245033264160156e+00,9.541393242998168489e-01,3.559372726628738937e-01,1.174299480156311137e+00,3.373748813519467316e+00,6.464050676385936889e+00,8.000000000000000444e-01,3.501824622140541354e+00
1.247600006743982748e+00,1.266062790998242349e+01,9.312283969026712072e+00,6.721924781799316406e+00,2.590359491211083220e+00,2.789313075983417822e-01,6.727800101684105805e+00,4.293758436905188880e+00,6.488427621203518569e+00,8.000000000000000444e-01,1.014798640713736688e+01
3.454944522989302769e+00,1.307722663548642217e+01,2.457278624500620623e+00,1.095440506935119629e+00,1.361838107320953117e+00,5.705642744794265919e-01,1.975266097351400463e+00,8.081260392408458060e+00,6.711985494520810391e+00,8.000000000000000444e-01,3.785075722191825420e+00
2.206855259051371920e+00,1.774466629147518049e+01,7.638675895174907637e+00,6.922338962554931641e+00,7.163369683827618406e-01,9.465494429472133542e-02,5.465748869489022166e-01,2.017363930450797760e+00,8.481572094160892306e+00,8.000000000000000444e-01,8.040702360834853124e+00
4.185578940042909757e+00,6.239132320000111420e+00,1.151524360758732657e+00,8.742483258247375488e-01,2.772759975064690852e-01,3.400914687495600885e-01,3.119880332045715243e-01,2.032720095752793110e+00,3.641782287644604654e+00,8.000000000000000444e-01,1.490625886973750314e+00
4.508163950828484090e+00,1.262341736615212717e+01,1.657382384124788333e+00,8.742483258247375488e-01,7.831340208725247054e-01,5.277584756307159841e-01,7.361014366395211006e-01,7.815691579507764608e+00,3.168895845045933690e+00,8.000000000000000444e-01,2.800123842841224064e+00
2.609559556982901984e+00,1.083328181649283728e+01,3.050878462507550015e+00,1.669190764427185059e+00,1.381687643691126510e+00,4.591748517954464259e-01,2.048573348535304373e+00,6.307352632452163377e+00,9.140505224418953745e+00,8.000000000000000444e-01,4.151383243009010293e+00
1.912178908177724068e+00,1.217773485211381157e+01,5.268082399366065260e+00,4.524033546447753906e+00,7.440492343880376058e-01,1.429809504594498903e-01,6.022864290789418096e-01,5.865583667205205742e+00,5.265857231445910891e+00,8.000000000000000444e-01,6.368512276771738811e+00
3.142743764689444053e+00,1.778496902281741399e+01,5.549475563863309979e+00,5.870970249176025391e+00,-3.214944290127424997e-01,5.693049712469897689e-02,2.138002251577212909e-01,4.162527600977677933e-01,7.320846651084997880e+00,8.000000000000000444e-01,5.659057929775216600e+00
2.087954695731353727e+00,1.838299905129853684e+01,7.942785542673104437e+00,6.595535278320312500e+00,1.347250210708611506e+00,1.702396849324652184e-01,1.822928939794784098e+00,4.620412484959476984e+00,9.056359370469609260e+00,8.000000000000000444e-01,8.804309350620020069e+00
4.206030313307936197e+00,1.741938500251837496e+01,3.525605685163978542e+00,1.771846175193786621e+00,1.753759562124255877e+00,5.134773789801876376e-01,3.404058338534974748e+00,3.666213854188321353e+00,9.327272002448895094e+00,8.000000000000000444e-01,4.141526262281850279e+00
1.944519240769511104e+00,1.080745284672459583e+01,4.753823903163943321e+00,4.008587837219238281e+00,7.452359526958801661e-01,1.576618564321094207e-01,6.244447083777801000e-01,4.270783115170294408e+00,7.839511899484679525e+00,8.000000000000000444e-01,5.557904812732902045e+00
2.403438561019841657e+00,6.900542143414899243e+00,1.277429381530828412e+00,9.884548187255859375e-01,2.889744969607366265e-01,2.780270509916453747e-01,1.524290742348578809e-01,9.612789681335986103e+00,9.682018436558420760e+00,8.000000000000000444e-01,2.871112353496908298e+00
4.389181435263535214e+00,1.879069696706618586e+01,3.142295196254401901e+00,8.882504701614379883e-01,2.254044761273674258e+00,7.239219335825854973e-01,5.260314424109357567e+00,7.033658456567049022e+00,2.505047993660572292e+00,8.000000000000000444e-01,4.281139261206675428e+00
4.380253974693804508e+00,1.607765190896128971e+01,2.413437931211491971e+00,1.335086584091186523e+00,1.078351398901840952e+00,4.746127500941483279e-01,1.270188583956940231e+00,8.146874943464769814e+00,9.047529973945737325e+00,8.000000000000000444e-01,3.670483949526049283e+00
1.469354583840205564e+00,9.304567141220973170e+00,5.869258760767877448e+00,5.047698497772216797e+00,8.215602510747320730e-01,1.412324996128036525e-01,7.338920624735000287e-01,2.265423435509920314e+00,9.191556007511028525e+00,8.000000000000000444e-01,6.332417813611186830e+00
3.475854158541037187e+00,8.085315048505812285e+00,8.293840259333002951e-01,8.742483258247375488e-01,-4.486433731896313087e-02,1.843718091984665186e-01,4.622423491567397014e-02,9.864587961896789992e+00,7.558200108957157326e+00,8.000000000000000444e-01,2.326137599484197516e+00
4.621833671365130236e+00,1.092918407498657452e+01,2.046323621686449545e+00,8.785383105278015137e-01,1.167785224825044876e+00,5.912397541417917513e-01,1.621659288299516444e+00,1.831006867295904339e+00,4.215593294101369182e+00,8.000000000000000444e-01,2.364685718289484040e+00
3.913014882825985641e+00,1.920752603289960092e+01,4.586011016160139953e+00,2.016880512237548828e+00,2.569130469649920201e+00,5.620111217120189462e-01,6.898326751860001771e+00,1.663939159844802118e+00,7.188088830155775710e+00,8.000000000000000444e-01,4.908625857059837116e+00
2.637015020944667221e+00,1.617067522865939111e+01,6.016451042522042769e+00,6.420410156250000000e+00,-4.039592627395691693e-01,6.620515363339669890e-02,2.898459466542495089e-01,4.964222389078071229e-01,3.160677723770433989e+00,8.000000000000000444e-01,6.132189274699888060e+00
4.891284357289728213e+00,4.893144747592755195e+00,7.044225000261523650e-01,8.742483258247375488e-01,-1.698258632261112067e-01,5.069468805132855138e-01,3.210826707542787095e-01,1.970950267230680231e+00,2.068211539322977743e-01,8.000000000000000444e-01,1.000380348016417065e+00
4.161614738694606075e+00,5.259456873891370066e+00,9.325212649082571525e-01,8.742483258247375488e-01,5.827290165599367799e-02,3.017498941361574372e-01,3.052596638080099511e-01,1.793075318891156344e+00,1.400742024696288168e-01,8.000000000000000444e-01,1.263801962490436859e+00
1.330638513758943597e+00,2.047611666910940986e+00,1.407730785808408047e+00,2.018896818161010742e+00,-6.111659906293515077e-01,4.592830347259542201e-01,9.891901638527939022e-01,7.334374891831776377e-01,8.065964857693064261e-01,8.000000000000000444e-01,1.538818879611869361e+00
4.346106249826891421e+00,1.125463730430157661e+01,2.157396682089089968e+00,1.215503931045532227e+00,9.418928147460217115e-01,4.731335181264643142e-01,1.149323019334566265e+00,2.586270368517075813e+00,7.219582920774898938e+00,8.000000000000000444e-01,2.589590925152797762e+00
1.397655933701642095e+00,7.538780370600429492e+00,4.066590542509127104e+00,3.512588500976562500e+00,5.540020266314027442e-01,1.627405863554463872e-01,4.725124329850339810e-01,6.764530519369450268e+00,6.616682450744107991e-01,8.000000000000000444e-01,5.393874263914320899e+00
4.619580152008999185e+00,1.910105157910668439e+01,3.507405787412302800e+00,9.139778017997741699e-01,2.593428015927077723e+00,7.409301678061193108e-01,7.007798077968797834e+00,3.417471940825396626e+00,1.424127001155856664e+00,8.000000000000000444e-01,4.134802503816255026e+00
2.059836103337281177e+00,1.709949752651416333e+01,6.586030545641532008e+00,5.848361015319824219e+00,7.376692561403407344e-01,1.197792947031296740e-01,6.475946235707679133e-01,9.125381136124861570e+00,1.649843243130770132e+00,8.000000000000000444e-01,8.301387425344231019e+00
